case_id,task,episode,level,repaired,random,negative,interpolation,persistence
PatternLock-episode-0-k0,PatternLock,0,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-0-k3,PatternLock,0,3,-0.00013910231064073741,1.909720594994724e-06,-2.1269646822474897e-05,-0.00026041310047730803,-0.00035190198104828596
PatternLock-episode-0-k7,PatternLock,0,7,-0.00460774963721633,-0.0038854489102959633,-0.003505957778543234,-0.0017612066585570574,0.0008687559748068452
PatternLock-episode-1-k0,PatternLock,1,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-1-k3,PatternLock,1,3,0.0009134836727753282,0.000429017236456275,-0.0007599582895636559,0.0020410404540598392,-0.0016779689249233343
PatternLock-episode-1-k7,PatternLock,1,7,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-2-k0,PatternLock,2,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-2-k3,PatternLock,2,3,5.8984162023989484e-05,0.00010315095278201625,4.1155159124173224e-05,-6.821998977102339e-05,0.0004229819363293548
PatternLock-episode-2-k7,PatternLock,2,7,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-3-k0,PatternLock,3,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-3-k3,PatternLock,3,3,0.00022592023015022278,0.0007577227661386132,-0.00019886204972863197,0.0006093408446758986,0.0004572795587591827
PatternLock-episode-3-k7,PatternLock,3,7,-0.0003520525060594082,0.0006550986436195672,-0.0006946710636839271,0.009872742928564548,0.0005034946758920947
PatternLock-episode-4-k0,PatternLock,4,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-4-k3,PatternLock,4,3,0.00028331729117780924,0.00022246727894525975,-6.302647670963779e-05,8.502943092025816e-05,0.006322185508906841
PatternLock-episode-4-k7,PatternLock,4,7,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-5-k0,PatternLock,5,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-5-k3,PatternLock,5,3,7.451800047419965e-05,0.00036677674506790936,-0.0009006864856928587,0.00015336272190324962,0.0028468244709074497
PatternLock-episode-5-k7,PatternLock,5,7,0.0029251438099890947,0.0004540488007478416,-0.0018740281229838729,0.004985547624528408,0.0011341056087985635
PatternLock-episode-6-k0,PatternLock,6,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-6-k3,PatternLock,6,3,0.0022481302730739117,0.006638209335505962,-0.0007635075598955154,0.004365207627415657,-0.00139869493432343
PatternLock-episode-6-k7,PatternLock,6,7,0.00972741562873125,0.01701723225414753,-0.0283815898001194,0.01264019776135683,-0.00042677822057157755
PatternLock-episode-7-k0,PatternLock,7,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-7-k3,PatternLock,7,3,0.00024914147797971964,-5.9372629038989544e-05,-0.0028166293632239103,0.0017721790354698896,-0.0001974841725314036
PatternLock-episode-7-k7,PatternLock,7,7,0.002512659877538681,-0.0011486231815069914,0.0027619691099971533,0.0005675783031620085,0.0004545580983782808
PatternLock-episode-8-k0,PatternLock,8,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-8-k3,PatternLock,8,3,0.00552144693210721,0.0004539000801742077,-0.0036905391607433558,0.0025414745323359966,0.0017149263003375381
PatternLock-episode-8-k7,PatternLock,8,7,2.9790360713377595e-05,0.0037995351012796164,0.0014919886598363519,0.0006976741133257747,0.0009091002284549177
PatternLock-episode-9-k0,PatternLock,9,0,0.0,0.0,0.0,0.0,0.0
PatternLock-episode-9-k3,PatternLock,9,3,0.002643270418047905,0.0011259681778028607,-0.0002733620349317789,0.006483264733105898,0.0009914946276694536
PatternLock-episode-9-k7,PatternLock,9,7,0.004617441911250353,0.0009028387721627951,-0.0014319983310997486,0.0018012665677815676,-0.004941004328429699
RouteStick-episode-10-k0,RouteStick,10,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-10-k3,RouteStick,10,3,-0.0003970362595282495,-0.0006800101255066693,-0.003144612768664956,0.0026486553251743317,-0.002984260907396674
RouteStick-episode-10-k7,RouteStick,10,7,0.0012519763549789786,0.0009555811993777752,0.0026466520503163338,0.001164510496892035,-0.0009231706499122083
RouteStick-episode-11-k0,RouteStick,11,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-11-k3,RouteStick,11,3,0.002893052063882351,-0.001070911530405283,-0.003838965203613043,-0.0008910358883440495,-0.0012604919611476362
RouteStick-episode-11-k7,RouteStick,11,7,0.02191494032740593,-0.0017505093710497022,-0.034993864595890045,-0.034383054822683334,-0.0034753793152049184
RouteStick-episode-12-k0,RouteStick,12,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-12-k3,RouteStick,12,3,-0.0017292380798608065,-0.007843880914151669,-0.008144949562847614,0.0009596198797225952,-0.001199697775518871
RouteStick-episode-12-k7,RouteStick,12,7,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-13-k0,RouteStick,13,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-13-k3,RouteStick,13,3,0.00035993580240756273,-0.002836977830156684,-0.003910647705197334,0.003965926822274923,0.002410002634860575
RouteStick-episode-13-k7,RouteStick,13,7,0.0016534756869077682,-0.0011992482468485832,-0.003863670863211155,0.0006329137249849737,0.000417176604969427
RouteStick-episode-14-k0,RouteStick,14,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-14-k3,RouteStick,14,3,0.00098199222702533,0.003064942080527544,0.0022906744852662086,-0.00023056496866047382,-0.004161758969227473
RouteStick-episode-14-k7,RouteStick,14,7,0.00016136170597746968,5.170465010451153e-05,8.164937025867403e-05,4.6048757212702185e-05,0.004291117424145341
RouteStick-episode-15-k0,RouteStick,15,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-15-k3,RouteStick,15,3,0.0003442860033828765,0.0002544167509768158,0.0005665517528541386,-0.00019026678637601435,-0.0010626073853927664
RouteStick-episode-15-k7,RouteStick,15,7,2.137120463885367e-05,-6.276729254750535e-05,-4.8127141781151295e-05,-7.103203097358346e-05,-0.001592094384250231
RouteStick-episode-16-k0,RouteStick,16,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-16-k3,RouteStick,16,3,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-16-k7,RouteStick,16,7,0.0010958712082356215,0.0009908245410770178,0.0032004686072468758,0.0033134655095636845,-0.001812716422136873
RouteStick-episode-17-k0,RouteStick,17,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-17-k3,RouteStick,17,3,0.002361494582146406,-0.0015879273414611816,-0.0018302657408639789,0.002651129849255085,0.001301415622492641
RouteStick-episode-17-k7,RouteStick,17,7,0.00010977828787872568,-0.00018038315465673804,-0.00016708619659766555,-4.701659781858325e-05,0.006615211605094373
RouteStick-episode-18-k0,RouteStick,18,0,0.0,0.0,0.0,0.0,0.0
RouteStick-episode-18-k3,RouteStick,18,3,0.0008538756519556046,-0.00017714171553961933,0.00041561166290193796,0.002522127702832222,0.0009043853448626275
RouteStick-episode-18-k7,RouteStick,18,7,-0.003273801878094673,0.0009681555675342679,0.004029794130474329,-0.0002607150236144662,-0.0024063216211895147
RouteStick-episode-19-k0,RouteStick,19,0,0.0,0.0,0.0,0.0,0.0
